SA2_MAINCODE_2011,SA2_NAME_2011,SUA_CODE_2011,SUA_NAME_2011,AREA_ALBERS_SQKM
215011393,West Wimmera,2000,Not in any Significant Urban Area (Vic.),5686.0708124020
215011394,Yarriambiack,2000,Not in any Significant Urban Area (Vic.),7139.5812669066
215021395,Irymple,2013,Mildura - Wentworth,88.2580886348
215021396,Merbein,2013,Mildura - Wentworth,101.8243284309
215021397,Mildura,2013,Mildura - Wentworth,76.1513636389
215021398,Mildura Region,2000,Not in any Significant Urban Area (Vic.),21569.5296257733
215021399,Red Cliffs,2000,Not in any Significant Urban Area (Vic.),246.7198783347
215031400,Buloke,2000,Not in any Significant Urban Area (Vic.),8068.6847314121
215031401,Gannawarra,2000,Not in any Significant Urban Area (Vic.),3568.2173744742
215031402,Kerang,2000,Not in any Significant Urban Area (Vic.),146.6077559892
215031403,Robinvale,2000,Not in any Significant Urban Area (Vic.),181.7432210511
215031404,Swan Hill,2000,Not in any Significant Urban Area (Vic.),126.5657314261
215031405,Swan Hill Region,2000,Not in any Significant Urban Area (Vic.),5759.2276933880
216011406,Echuca,2007,Echuca - Moama,183.8169247271
216011407,Kyabram,2000,Not in any Significant Urban Area (Vic.),738.8613175955
216011408,Lockington - Gunbower,2000,Not in any Significant Urban Area (Vic.),1646.3582211064
216011409,Rochester,2000,Not in any Significant Urban Area (Vic.),351.6445541288
216011410,Rushworth,2000,Not in any Significant Urban Area (Vic.),1633.8859244101
216021411,Cobram,2000,Not in any Significant Urban Area (Vic.),131.7200176321
216021412,Moira,2000,Not in any Significant Urban Area (Vic.),1498.8168334306
216021413,Numurkah,2000,Not in any Significant Urban Area (Vic.),2321.0172376326
216021414,Yarrawonga,2000,Not in any Significant Urban Area (Vic.),94.9993621561
216031415,Mooroopna,2017,Shepparton - Mooroopna,39.9733462774
216031416,Shepparton - North,2017,Shepparton - Mooroopna,65.6648098095
216031417,Shepparton - South,2017,Shepparton - Mooroopna,143.2430900147
216031418,Shepparton Region - East,2000,Not in any Significant Urban Area (Vic.),1055.6023402039
216031419,Shepparton Region - West,2000,Not in any Significant Urban Area (Vic.),1028.7224122504
217011420,Glenelg (Vic.),2000,Not in any Significant Urban Area (Vic.),6121.0880781991
217011421,Hamilton (Vic.),2000,Not in any Significant Urban Area (Vic.),198.3366513316
217011422,Portland,2000,Not in any Significant Urban Area (Vic.),63.9850574166
217011423,Southern Grampians,2000,Not in any Significant Urban Area (Vic.),6563.7666912493
217021424,Camperdown,2000,Not in any Significant Urban Area (Vic.),98.1190915573
217021425,Colac,2005,Colac,54.7346610667
217021426,Colac Region,2000,Not in any Significant Urban Area (Vic.),1934.2764112534
217021427,Corangamite - North,2000,Not in any Significant Urban Area (Vic.),2538.3467923655
217021428,Corangamite - South,2000,Not in any Significant Urban Area (Vic.),1805.1886817821
217021429,Moyne - East,2000,Not in any Significant Urban Area (Vic.),3277.9920134524
217021430,Moyne - West,2000,Not in any Significant Urban Area (Vic.),2035.7188741316
